"","risk_type","hb_rel_risk","lcr_rel_risk","pfas_rel_risk","dbp_rel_risk","tcr_rel_risk","ars_rel_risk","nitrate_rel_risk","boundary"
"1","race",0.859351572794833,0.546968410791572,1.09934635745673,0.954848358045312,1.4375862982787,1.16139893955875,0.952634036273881,"county"
"2","income",1.38255282824632,1.02851470916114,0.92768730890058,1.03027234146516,0.926954832433567,1.01004193127173,0.945122770172875,"county"
"3","race",0.777792579999896,0.604227519783079,0.996887149923602,0.948394136130489,1.29006244874572,1.26528544243953,1.02436840472828,"zc"
"4","income",1.42195929901184,1.18724439019693,0.830347574648121,1.03938346742002,0.872993755071778,1.16547548758504,0.964362436962913,"zc"
"5","race",1.26102381712272,0.753622483243053,1.10625659635242,1.07346726829236,1.1150788612425,1.18045984604971,0.956486806625078,"usgs"
"6","income",1.42378428061512,1.37489007556189,1.01841264835785,1.02094451403123,0.920036689772207,1.19349701125194,0.911737369273504,"usgs"
"7","race",0.812689156691612,0.579460992070734,0.926288610055058,0.948696712962209,1.41113758535896,1.25934445813437,0.942640880511545,"epic"
"8","income",1.38094299221049,1.15082760084554,0.788811597263986,1.02744190802813,0.908601444992841,1.11606933974196,0.970402239587007,"epic"
"9","race",0.730511425830382,0.656056315980658,1.01689323320078,0.957759688599274,1.44651524508705,1.08399104120129,0.995544545503318,"hm"
"10","income",1.33863792334031,1.14055548115055,0.848647864268965,1.02358485844319,0.923674039895638,1.06132428554217,0.985783931653086,"hm"
