"","race_cat","hb_rel_risk","lcr_rel_risk","pfas_rel_risk","dbp_rel_risk","tcr_rel_risk","ars_rel_risk","nitrate_rel_risk","boundary"
"1","amer_ind",2.68326876757869,0.33093829122236,0.970158126415342,0.939692386278426,0.741377648930695,1.91157033530133,1.09488873906381,"epic"
"2","asian",0.473687162177676,0.404378632744045,1.41480655961202,0.987349954548954,1.65859533810735,1.13772152636746,1.519562349811,"epic"
"3","black",1.13638635935186,1.37041012251716,1.187064322402,1.08715617665457,1.54457899213883,0.613206574604453,0.831066886357956,"epic"
"4","hisp",0.982538356638386,0.347461177832973,1.45355706260321,0.942811879460284,0.964948674043737,1.69335540423214,1.35911882707291,"epic"
"5","pac_isl",0.376371784264388,0.36808033456036,0.847866977064879,0.665174638379658,2.50820272181962,1.45106270189377,1.46610326929361,"epic"
"6","poc_risk",0.984105315535651,0.730095684049165,1.32866733832917,0.998126424414724,1.28068142747693,1.23622716005207,1.21232771422176,"epic"
"7","lowinc",1.2637612581607,1.26027821780326,0.941800591932434,1.01722683778382,1.0256610096691,1.0250268054707,0.964051879119528,"epic"
"8","amer_ind",2.68326876757869,0.33093829122236,0.970158126415342,0.939692386278426,0.741377648930695,1.91157033530133,1.09488873906381,"epic"
"9","asian",0.473687162177676,0.404378632744045,1.41480655961202,0.987349954548954,1.65859533810735,1.13772152636746,1.519562349811,"epic"
"10","black",1.13638635935186,1.37041012251716,1.187064322402,1.08715617665457,1.54457899213883,0.613206574604453,0.831066886357956,"epic"
"11","hisp",0.982538356638386,0.347461177832973,1.45355706260321,0.942811879460284,0.964948674043737,1.69335540423214,1.35911882707291,"epic"
"12","pac_isl",0.376371784264388,0.36808033456036,0.847866977064879,0.665174638379658,2.50820272181962,1.45106270189377,1.46610326929361,"epic"
"13","poc_risk",0.984105315535651,0.730095684049165,1.32866733832917,0.998126424414724,1.28068142747693,1.23622716005207,1.21232771422176,"epic"
"14","lowinc",1.2637612581607,1.26027821780326,0.941800591932434,1.01722683778382,1.0256610096691,1.0250268054707,0.964051879119528,"epic"
"15","amer_ind",2.82613785776653,0.255660837869679,0.653384825678172,0.990475464564587,0.761197788876157,2.23001129328892,1.10012647557505,"usgs"
"16","asian",0.507560738733207,0.324980444036966,1.44113083649189,1.04068551301283,1.60079556406975,1.01490166622908,1.27823540770768,"usgs"
"17","black",1.18790281667613,1.05387661890114,1.12884389364683,1.15589496680254,1.60843169689391,0.536328825118409,0.901290569570848,"usgs"
"18","hisp",0.938183165788715,0.233107028669272,1.22730802656934,0.997259229522789,1.01787717497874,1.66073773340558,1.17423606890106,"usgs"
"19","pac_isl",0.593877204744382,0.309558308851427,0.860949501534051,0.934301006965149,1.15919989476998,2.00813052333828,1.29522975723273,"usgs"
"20","poc_risk",0.983373192693659,0.557861598069653,1.20392780171235,1.05812409866461,1.31476094159681,1.17000937935321,1.09864671394043,"usgs"
"21","lowinc",1.23629832743154,1.06832228859142,0.847709048323203,1.02338983139272,0.969056000644153,1.06783638834847,0.964315032031858,"usgs"
"22","amer_ind",2.25986666888955,0.455489876231107,0.831558940114056,0.94573089544662,0.694101206709948,2.16798819357222,1.08075427454038,"zc"
"23","asian",0.55105583486799,0.406694185622829,1.39908853470944,0.954693800120508,1.55791465490678,1.18470846665826,1.56756260851618,"zc"
"24","black",1.05687447221788,0.883741999663332,1.05398596591384,1.09325790508037,1.42358511248515,0.674838329870986,0.845181977836458,"zc"
"25","hisp",0.98585718192035,0.27795401675467,1.33397483806666,0.931494752646561,0.963102992797932,1.77523180937664,1.39827428875015,"zc"
"26","pac_isl",0.402969457414884,0.29552500761444,0.863604343760943,0.688257401928835,2.1531679182568,1.68692042648986,1.44050950813384,"zc"
"27","poc_risk",0.951651720116242,0.522890671465367,1.22964851578783,0.986856760472464,1.21733432989251,1.3208291723704,1.25194324519934,"zc"
"28","lowinc",1.17927512238575,0.9816257564288,0.921777677479297,1.01619440843393,0.98881310749825,1.07689093588527,0.977027233918303,"zc"
"29","amer_ind",2.37216931296081,0.2922447840608,0.883471053809922,0.965770574222922,0.797004247780716,1.71951412198511,1.03362584609814,"county"
"30","asian",0.506540066026144,0.387504889806404,1.28391642991138,1.02610311555233,2.00512998915019,1.07008997846575,1.40618613025868,"county"
"31","black",1.0626643055378,1.05259082677704,1.05245279168337,1.08560318746561,1.43914168829031,0.675836792643782,0.873929884890674,"county"
